product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Тульская,4434,421,Напитки,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1999-04-10,2001-05-10,0.28,Returned
2,Мороженое,9516,882,Молочные продукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2018-06-02,2024-01-02,1.98,Temporarily Unavailable
3,Нафтуся,3282,818,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2005-11-05,2023-01-11,3.28,Returned
4,Дыня,5001,717,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2013-10-06,2026-03-05,3.96,Pending
5,Цукини,5881,625,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2006-04-05,2027-11-01,1.06,Awaiting Payment
6,Тушенка,5897,224,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2002-03-02,2021-10-04,1.61,Refunded
7,Папайя,9912,209,Фрукты,Помогает улучшать качество сна и снижать уровень тревожности.,2008-02-03,2016-01-23,3.78,Refunded
8,Петрушка сушеная,760,379,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2018-04-03,2021-01-13,3.42,Returned
9,Чашки,3614,118,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2016-06-08,2024-05-08,0.97,Delivered
10,Каша из ржи,9794,709,Бакалея,"Является источником важных нутриентов, необходимых для роста и развития детей.",2021-04-04,2023-05-15,3.11,Out of Stock
11,Сыр,7693,131,Молочные продукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1991-03-05,2005-04-24,3.95,Temporarily Unavailable
12,Мыло твердое,3051,33,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2020-01-11,2023-06-05,4.35,Shipping
13,Фенхель,2188,150,Овощи,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1999-05-21,2018-05-08,3.21,New
14,Новотерская,5019,215,Напитки,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2019-02-03,2029-04-04,1.21,Out of Stock
15,Пастернак,1761,643,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2014-01-18,2017-02-11,4.65,Out of Stock
16,Амарант крупа,1992,781,Бакалея,"Подходит для людей всех возрастов, включая детей и пожилых.",2008-03-02,2030-02-13,3.57,On Backorder
17,Курт,9771,260,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2002-02-15,2008-12-15,2.74,Shipping
18,Пакеты для заморозки,7166,243,Товары для дома,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2002-08-03,2012-01-02,3.56,Available for Pickup
19,Одинцовская,8894,835,Напитки,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2018-02-03,2022-03-07,3.35,In Stock
20,Гранат,3030,56,Фрукты,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1997-09-04,2013-01-03,1.16,Awaiting Payment
21,Эндивий,2619,340,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2019-02-03,2027-05-17,1.83,On Backorder
22,Томская,226,804,Напитки,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1995-01-08,2024-01-01,1.61,Returned
23,Южно-Сахалинская,7817,577,Напитки,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2014-06-06,2023-04-03,1.76,Temporarily Unavailable
24,Топинамбур,7767,586,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",1997-12-05,2024-02-10,1.91,Temporarily Unavailable
25,Спаржа,2310,149,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,1993-02-06,1993-03-01,1.7,Refunded
26,Кострец,3240,567,Мясо,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2022-04-01,2027-03-12,2.94,On Backorder
27,Рамбутан,9969,528,Фрукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2019-03-06,2022-12-01,1.74,Delivered
28,Топлёное молоко,3975,649,Молочные продукты,Помогает поддерживать нормальный уровень электролитов в организме.,2000-08-02,2006-04-07,2.77,In Stock
29,Лук-порей,9319,436,Овощи,"Обладает мягким вкусом, который нравится многим потребителям.",1992-03-03,1992-05-16,3.52,Shipping
